sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
sequence,flow.Sequence,4_12,2023-11-20T15:21:32.560Z,,,,,,,,,,,5167.304000000004,completion,,,,,,,high,low,,,,,,true,,,,,false,166995.60000002384,166994.5,161793.876,162003,161827.196,166820.255,1,16,,
trial,html.Screen,4_13_0,2023-11-20T15:21:36.242Z,,,,0,-0.9617893983965208,0.9453006131304652,,,true,hl,3857.1449999761535,response,0.8513427412482127,1.2,-1.2,-0.9295303568095064,1.2,-1.2,high,low,,ISIC_4229473.JPG,,ISIC_0034164.JPG,26,true,0.4500000000000003,hl,keypress(j),100,false,170677.79999995232,170677.39999997616,166786.927,166995.79999995232,166820.255,170510.768,1,16,14,
sequence,flow.Sequence,4_13,2023-11-20T15:21:36.243Z,,,,,,,,,,,3857.1449999761535,completion,,,,,,,high,low,,,,,,true,,,,,false,170678.29999995232,170677.39999997616,166786.927,166995.79999995232,166820.255,170510.768,1,16,,
trial,html.Screen,4_14_0,2023-11-20T15:21:39.575Z,,,,0,-1.0685314915436992,0.8203833713472237,,,true,hl,3499.432000047673,response,0.8828738626295417,1.2,-1.2,-0.8288177599439582,1.2,-1.2,high,low,,ISIC_0029374.JPG,,ISIC_0056041.JPG,26,true,0.4500000000000003,hl,keypress(j),100,false,174010.5,174010.20000004768,170477.428,170678.60000002384,170510.768,173833.898,1,16,15,
sequence,flow.Sequence,4_14,2023-11-20T15:21:39.576Z,,,,,,,,,,,3499.432000047673,completion,,,,,,,high,low,,,,,,true,,,,,false,174011.10000002384,174010.20000004768,170477.428,170678.5,170510.768,173833.898,1,16,,
trial,html.Screen,4_15_0,2023-11-20T15:21:46.345Z,,,,0,-0.8544507134472948,0.9244388608707323,,,true,hl,6945.501999976172,response,0.8034318937720549,1.2,-1.2,-1.0024917298189338,1.2,-1.2,high,low,,ISIC_3565564.JPG,,ISIC_0032766.JPG,26,true,0.4500000000000003,hl,keypress(j),100,false,180779.79999995232,180779.39999997616,173800.594,174011.29999995232,173833.898,180597.056,1,16,16,
sequence,flow.Sequence,4_15,2023-11-20T15:21:46.346Z,,,,,,,,,,,6945.501999976172,completion,,,,,,,high,low,,,,,,true,,,,,false,180780.5,180779.39999997616,173800.594,174011.20000004768,173833.898,180597.056,1,16,,
demonstration_loop,flow.Loop,4,2023-11-20T15:21:46.346Z,,,,,,,,,,,92595.53399997616,completion,,,,,,,,,,,,,,true,,,,,false,180780.79999995232,180779.39999997616,88167.263,88388.60000002384,88183.866,180597.056,1,16,,
practice_instructions,html.Screen,5,2023-11-20T15:22:02.585Z,,,,,,,,,,,16414.743999952305,response,,,,,,,,,,,,,,,,continue,click button,,,197019.89999997616,197011.79999995232,180580.444,180780.89999997616,180597.056,196811.986,,,,
trial,html.Screen,6_0_0,2023-11-20T15:22:13.013Z,,,,1,-1.1441767540243375,-1.0949087392471728,,,true,hh,10628.114000023837,response,1.2804054832904397,1.2,-1.2,1.171271535505083,1.2,-1.2,high,high,,ISIC_0054146.JPG,,ISIC_7889838.JPG,25,true,0.14,hh,keypress(i),0,false,207447.10000002384,207440.10000002384,196795.235,197020,196811.986,207282.328,1,40,1,
sequence,flow.Sequence,6_0,2023-11-20T15:22:13.013Z,,,,,,,,,,,10628.114000023837,completion,,,,,,,high,high,,,,,,true,,,,,false,207447.20000004768,207440.10000002384,196795.235,197020,196811.986,207282.328,1,40,,
trial,html.Screen,6_1_0,2023-11-20T15:22:19.747Z,,,,1,0.7518277461369444,-1.3860759020802074,,,true,lh,6898.872000047675,response,-1.2081146885025262,1.2,-1.2,1.195668832085049,1.2,-1.2,low,high,,ISIC_7967397.JPG,,ISIC_7369690.JPG,27,true,0.40000000000000024,lh,keypress(e),0,false,214181.60000002384,214181.20000004768,207232.249,207447.29999995232,207282.328,213995.41,1,40,2,
sequence,flow.Sequence,6_1,2023-11-20T15:22:19.748Z,,,,,,,,,,,6898.872000047675,completion,,,,,,,low,high,,,,,,true,,,,,false,214182,214181.20000004768,207232.249,207447.29999995232,207282.328,213995.41,1,40,,
trial,html.Screen,6_2_0,2023-11-20T15:22:30.332Z,,,,1,1.0329549150636406,-1.01584100839286,,,true,lh,10770.389999952313,response,-0.7688509750532941,1.2,-1.2,0.7699842387811451,1.2,-1.2,low,high,,ISIC_0054670.JPG,,ISIC_0014527.JPG,40,true,0.4500000000000003,lh,keypress(e),0,false,224766,224765.79999995232,213962.119,214182.39999997616,213995.41,224599.392,1,40,3,
sequence,flow.Sequence,6_2,2023-11-20T15:22:30.332Z,,,,,,,,,,,10770.389999952313,completion,,,,,,,low,high,,,,,,true,,,,,false,224766.5,224765.79999995232,213962.119,214182.20000004768,213995.41,224599.392,1,40,,
trial,html.Screen,6_3_0,2023-11-20T15:22:34.859Z,,,,1,1.199471562817528,-0.8631260534979347,,,true,lh,4694.007999976166,response,-1.0788024398087033,1.2,-1.2,0.9911875460374616,1.2,-1.2,low,high,,ISIC_0030754.JPG,,ISIC_5951430.JPG,40,true,0.4500000000000003,lh,keypress(e),0,false,229293.70000004768,229293.39999997616,224549.39,224766.79999995232,224599.392,229091.467,1,40,4,
sequence,flow.Sequence,6_3,2023-11-20T15:22:34.860Z,,,,,,,,,,,4694.007999976166,completion,,,,,,,low,high,,,,,,true,,,,,false,229294.29999995232,229293.39999997616,224549.39,224766.70000004768,224599.392,229091.467,1,40,,
trial,html.Screen,6_4_0,2023-11-20T15:22:47.244Z,,,,1,-1.2749714218614645,-1.1578619398362149,,,false,hh,12584.832999952312,response,1.1756375305897409,1.2,-1.2,0.910735965353392,1.2,-1.2,high,high,,ISIC_0024999.JPG,,ISIC_0005769.JPG,265,true,0.4500000000000003,ll,keypress(f),0,false,241676.39999997616,241676.29999995232,229074.985,229294.60000002384,229091.467,241498.938,1,40,5,
sequence,flow.Sequence,6_4,2023-11-20T15:22:47.244Z,,,,,,,,,,,12584.832999952312,completion,,,,,,,high,high,,,,,,true,,,,,false,241676.60000002384,241676.29999995232,229074.985,229294.60000002384,229091.467,241498.938,1,40,,
trial,html.Screen,6_5_0,2023-11-20T15:22:53.621Z,,,,1,-0.9544693251394116,1.0727539917203766,,,true,hl,6554.4619999761635,response,0.7991459998473059,1.2,-1.2,-1.0280788723474688,1.2,-1.2,high,low,,ISIC_0055147.JPG,,ISIC_7951202.JPG,26,true,0.4500000000000003,hl,keypress(j),0,false,248053.70000004768,248053.39999997616,241449.008,241676.60000002384,241498.938,247861.331,1,40,6,
sequence,flow.Sequence,6_5,2023-11-20T15:22:53.622Z,,,,,,,,,,,6554.4619999761635,completion,,,,,,,high,low,,,,,,true,,,,,false,248054.20000004768,248053.39999997616,241449.008,241676.60000002384,241498.938,247861.331,1,40,,
trial,html.Screen,6_6_0,2023-11-20T15:22:59.309Z,,,,1,-0.8443403196524287,0.8858525429102605,,,true,hl,5880.068999976153,response,1.3046390428588206,1.2,-1.2,-0.7942099232219556,1.2,-1.2,high,low,,ISIC_8777813.JPG,,ISIC_0013096.JPG,26,true,0.4500000000000003,hl,keypress(j),0,false,253741.79999995232,253741.39999997616,247828.034,248054.5,247861.331,253539.128,1,40,7,
sequence,flow.Sequence,6_6,2023-11-20T15:22:59.309Z,,,,,,,,,,,5880.068999976153,completion,,,,,,,high,low,,,,,,true,,,,,false,253742.20000004768,253741.39999997616,247828.034,248054.39999997616,247861.331,253539.128,1,40,,
trial,html.Screen,6_7_0,2023-11-20T15:23:05.309Z,,,,1,-1.2118207001489876,-1.3164676315545727,,,true,hh,6202.572000047687,response,1.135180301076722,1.2,-1.2,0.8279199409322678,1.2,-1.2,high,high,,ISIC_0066476.JPG,,ISIC_8637134.JPG,203,true,0.40000000000000024,hh,keypress(i),0,false,259742.10000002384,259741.70000004768,253522.337,253742.39999997616,253539.128,259567.436,1,40,8,
sequence,flow.Sequence,6_7,2023-11-20T15:23:05.310Z,,,,,,,,,,,6202.572000047687,completion,,,,,,,high,high,,,,,,true,,,,,false,259742.70000004768,259741.70000004768,253522.337,253742.29999995232,253539.128,259567.436,1,40,,
trial,html.Screen,6_8_0,2023-11-20T15:23:12.118Z,,,,1,0.8110121381849364,-0.7563142141851558,,,true,lh,6982.664000023855,response,-1.045301444872812,1.2,-1.2,1.0872560254441277,1.2,-1.2,low,high,,ISIC_0033605.JPG,,ISIC_4507700.JPG,27,true,0.40000000000000024,lh,keypress(e),0,false,266550.39999997616,266550.10000002384,259517.493,259742.89999997616,259567.436,266347.301,1,40,9,
sequence,flow.Sequence,6_8,2023-11-20T15:23:12.118Z,,,,,,,,,,,6982.664000023855,completion,,,,,,,low,high,,,,,,true,,,,,false,266551,266550.10000002384,259517.493,259742.89999997616,259567.436,266347.301,1,40,,
