mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
8.673823833465576,0.4838204495216195,0.7221441268920898,0.021787898433393262,0.001,0.1,rbf,"{'C': 0.001, 'gamma': 0.1, 'kernel': 'rbf'}",0.7990255111221849,0.8119696718021123,0.8067390612239249,0.7988663261492464,0.7950500695964791,0.8023301279787894,0.006136402255637611,11
5.534377527236939,0.5270568521564198,0.4033630847930908,0.023390256311634456,1000.0,0.001,rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",0.7973298451061003,0.8139248785349446,0.803297551319851,0.8014150159877081,0.7956376961571996,0.8023209974211607,0.006418763650340068,12
5.4032652378082275,0.15696911851394346,0.48108272552490233,0.031159555188273205,10.0,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.7975703528369531,0.8128538405104992,0.8027992331436956,0.8006969533380397,0.7948212592542516,0.8017483278166878,0.006180322908927558,13
7.415908241271973,0.24873248069823234,0.599591875076294,0.032655139663188046,0.01,0.1,rbf,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",0.7979977298838642,0.8114903866118517,0.8050468557507301,0.7978748806112702,0.7937638781272914,0.8012347461970016,0.0062815791111638375,14
7.2913590431213375,0.22399421324298624,0.45568027496337893,0.014558981566150405,100.0,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.7934851819553452,0.8000411804603905,0.7946894508810544,0.7896145647329152,0.7846322653783951,0.7924925286816201,0.0051548110932488666,15
5.743846321105957,0.3231289597738236,0.4836108684539795,0.019097493795445956,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7929228437357253,0.8004893207646415,0.7934073197403209,0.7874413437980151,0.7837464920081054,0.7916014640093616,0.005709787076906289,16
6.622637224197388,0.3110899376656573,0.6562709808349609,0.034200485162958226,0.001,scale,rbf,"{'C': 0.001, 'gamma': 'scale', 'kernel': 'rbf'}",0.7915195935938429,0.7983230209155213,0.790526417784422,0.781177761167172,0.783203934151157,0.788950145522423,0.0061703548432685325,17
6.998942470550537,0.40178213233459614,0.6553285598754883,0.049277573402366125,0.001,auto,rbf,"{'C': 0.001, 'gamma': 'auto', 'kernel': 'rbf'}",0.7910904862754868,0.7981396121423529,0.7906008194565562,0.7812123665960716,0.7831241972137141,0.7888334963368364,0.006090959546429501,18
20.68591637611389,2.4006123633505836,0.5395571231842041,0.04309403607853732,1000.0,0.01,rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",0.7934644186980053,0.7933035034536219,0.7923259000872057,0.7827523081821077,0.7821014843204247,0.788789522948273,0.0052137214417860124,19
5.716203069686889,0.14134764314391324,0.45896449089050295,0.0223579960089586,1.0,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7911943025621859,0.7893429121160528,0.7923189790014258,0.778407596583752,0.7828312506391956,0.7868190081805224,0.005336984659739673,20
7.895139408111572,0.2900778892782828,0.6122447490692139,0.04219277710229153,0.01,scale,rbf,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.7864204836454743,0.7945250750937807,0.7888342123112275,0.7759350386888695,0.7845421279708509,0.7860513875420405,0.006071278364996441,21
