sender,sender_type,sender_id,timestamp,meta,age,blockNo,c1,c2,condition,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
trial,html.Screen,6_20_0,2023-11-15T20:43:36.720Z,,,1,-1.020990672,1.011651385,,TRUE,hl,2182.994,response,0.923557177,0.95,-0.95,-1.000808165,0.95,-0.95,high,low,,ISIC_0011995.JPG,,ISIC_8796632.JPG,26,TRUE,hl,keypress(j),0,FALSE,223215.3,223214.9,221015.319,221231.7,221031.906,223019.266,1,40,21,
sequence,flow.Sequence,6_20,2023-11-15T20:43:36.721Z,,,,,,,,,2182.994,completion,,,,,,,high,low,,,,,,TRUE,,,,FALSE,223215.8,223214.9,221015.319,221231.6,221031.906,223019.266,1,40,,
trial,html.Screen,6_21_0,2023-11-15T20:43:41.312Z,,,1,-1.08653334,1.054263531,,TRUE,hl,4787.534,response,1.021336533,0.95,-0.95,-1.08852436,0.95,-0.95,high,low,,ISIC_0034006.JPG,,ISIC_5434229.JPG,26,TRUE,hl,keypress(j),0,FALSE,227807.2,227806.8,223002.468,223216,223019.266,227611.465,1,40,22,
sequence,flow.Sequence,6_21,2023-11-15T20:43:41.313Z,,,,,,,,,4787.534,completion,,,,,,,high,low,,,,,,TRUE,,,,FALSE,227807.7,227806.8,223002.468,223215.9,223019.266,227611.465,1,40,,
trial,html.Screen,6_22_0,2023-11-15T20:43:43.136Z,,,1,-0.851370209,-0.86466863,,TRUE,hh,2019.335,response,0.794248768,0.95,-0.95,0.771109215,0.95,-0.95,high,high,,ISIC_1881133.JPG,,ISIC_3810274.JPG,167,TRUE,hh,keypress(i),0,FALSE,229631.1,229630.8,227594.692,227807.9,227611.465,229431.463,1,40,23,
sequence,flow.Sequence,6_22,2023-11-15T20:43:43.137Z,,,,,,,,,2019.335,completion,,,,,,,high,high,,,,,,TRUE,,,,FALSE,229631.6,229630.8,227594.692,227807.9,227611.465,229431.463,1,40,,
trial,html.Screen,6_23_0,2023-11-15T20:43:45.224Z,,,1,-0.990489579,0.774789798,,TRUE,hl,2287.037,response,0.809764442,0.95,-0.95,-1.005337148,0.95,-0.95,high,low,,ISIC_7030404.JPG,,ISIC_2379379.JPG,26,TRUE,hl,keypress(j),0,FALSE,231718.8,231718.5,229415.004,229631.9,229431.463,231518.929,1,40,24,
sequence,flow.Sequence,6_23,2023-11-15T20:43:45.225Z,,,,,,,,,2287.037,completion,,,,,,,high,low,,,,,,TRUE,,,,FALSE,231719.3,231718.5,229415.004,229631.8,229431.463,231518.929,1,40,,
trial,html.Screen,6_24_0,2023-11-15T20:43:49.704Z,,,1,1.125322099,1.108725659,,TRUE,ll,4679.771,response,-0.772660959,0.95,-0.95,-0.817110953,0.95,-0.95,low,low,,ISIC_0054954.JPG,,ISIC_0283506.JPG,142,TRUE,ll,keypress(f),0,FALSE,236199.1,236198.7,231502.359,231719.5,231518.929,235994.284,1,40,25,
sequence,flow.Sequence,6_24,2023-11-15T20:43:49.705Z,,,,,,,,,4679.771,completion,,,,,,,low,low,,,,,,TRUE,,,,FALSE,236199.5,236198.7,231502.359,231719.5,231518.929,235994.284,1,40,,
