sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
trial,html.Screen,6_6_0,2023-11-15T15:22:42.329Z,,,,1,-0.990489579313564,0.7747897983133127,,true,hl,1144.122999994026,response,0.991146183030456,0.9499999999999997,-0.9499999999999997,-0.9949639823722534,0.9499999999999997,-0.9499999999999997,high,low,,ISIC_7030404.JPG,,ISIC_6342224.JPG,26,true,hl,keypress(j),0,false,259988.69999998808,259988.59999999404,258827.833,258837.5,258844.477,259994.557,1,20,7,
sequence,flow.Sequence,6_6,2023-11-15T15:22:42.329Z,,,,,,,,,,1144.122999994026,completion,,,,,,,high,low,,,,,,true,,,,false,259988.79999999702,259988.59999999404,258827.833,258837.5,258844.477,259994.557,1,20,,
trial,html.Screen,6_7_0,2023-11-15T15:22:43.393Z,,,,1,0.8035152873995188,-0.82868450251632,,true,lh,1058.0429999940388,response,-1.020990671779317,0.9499999999999997,-0.9499999999999997,1.0116513850520903,0.9499999999999997,-0.9499999999999997,low,high,,ISIC_0010671.JPG,,ISIC_0011995.JPG,28,true,lh,keypress(e),0,false,261052.79999999702,261052.59999999404,259977.799,259988.89999999106,259994.557,261061.194,1,20,8,
sequence,flow.Sequence,6_7,2023-11-15T15:22:43.393Z,,,,,,,,,,1058.0429999940388,completion,,,,,,,low,high,,,,,,true,,,,false,261052.89999999106,261052.59999999404,259977.799,259988.89999999106,259994.557,261061.194,1,20,,
trial,html.Screen,6_8_0,2023-11-15T15:22:44.905Z,,,,1,1.0996798766352407,0.9259269949251356,,true,ll,1503.405999994051,response,-0.8093923499033241,0.9499999999999997,-0.9499999999999997,-1.102485543525293,0.9499999999999997,-0.9499999999999997,low,low,,ISIC_0030970.JPG,,ISIC_1208705.JPG,142,true,ll,keypress(f),0,false,262564.89999999106,262564.59999999404,261044.409,261053,261061.194,262577.757,1,20,9,
sequence,flow.Sequence,6_8,2023-11-15T15:22:44.905Z,,,,,,,,,,1503.405999994051,completion,,,,,,,low,low,,,,,,true,,,,false,262565.09999999404,262564.59999999404,261044.409,261052.89999999106,261061.194,262577.757,1,20,,
trial,html.Screen,6_9_0,2023-11-15T15:22:47.153Z,,,,1,0.8426512029386741,0.7924499678897714,,true,ll,2234.8429999940563,response,-0.9191486333136276,0.9499999999999997,-0.9499999999999997,-1.001866590114321,0.9499999999999997,-0.9499999999999997,low,low,,ISIC_0013636.JPG,,ISIC_0663941.JPG,142,true,ll,keypress(f),0,false,264812.799999997,264812.59999999404,262561.195,262565.1999999881,262577.757,264827.762,1,20,10,
sequence,flow.Sequence,6_9,2023-11-15T15:22:47.153Z,,,,,,,,,,2234.8429999940563,completion,,,,,,,low,low,,,,,,true,,,,false,264812.89999999106,264812.59999999404,262561.195,262565.1999999881,262577.757,264827.762,1,20,,
trial,html.Screen,6_10_0,2023-11-15T15:22:48.449Z,,,,1,0.796241477082623,-0.9017449335975743,,true,lh,1280.6379999910714,response,-0.8179805381029407,0.9499999999999997,-0.9499999999999997,0.8578467162767749,0.9499999999999997,-0.9499999999999997,low,high,,ISIC_8588033.JPG,,ISIC_0067253.JPG,28,true,lh,keypress(e),0,false,266108.59999999404,266108.39999999106,264811.125,264813,264827.762,266111.124,1,20,11,
sequence,flow.Sequence,6_10,2023-11-15T15:22:48.449Z,,,,,,,,,,1280.6379999910714,completion,,,,,,,low,high,,,,,,true,,,,false,266108.799999997,266108.39999999106,264811.125,264812.89999999106,264827.762,266111.124,1,20,,
trial,html.Screen,6_11_0,2023-11-15T15:22:49.713Z,,,,1,0.9866439901618108,0.9294281370493894,,true,ll,1261.4759999940288,response,-0.9102336581208296,0.9499999999999997,-0.9499999999999997,-1.0305113346799688,0.9499999999999997,-0.9499999999999997,low,low,,ISIC_0072953.JPG,,ISIC_0068530.JPG,142,true,ll,keypress(f),0,false,267372.799999997,267372.59999999404,266094.668,266108.799999997,266111.124,267377.796,1,20,12,
sequence,flow.Sequence,6_11,2023-11-15T15:22:49.713Z,,,,,,,,,,1261.4759999940288,completion,,,,,,,low,low,,,,,,true,,,,false,267372.89999999106,267372.59999999404,266094.668,266108.799999997,266111.124,267377.796,1,20,,
trial,html.Screen,6_12_0,2023-11-15T15:22:51.569Z,,,,1,-1.0113132640329443,-0.7686728458591023,,true,hh,1850.903999988106,response,0.9441762364280936,0.9499999999999997,-0.9499999999999997,0.7652061050527971,0.9499999999999997,-0.9499999999999997,high,high,,ISIC_9675304.JPG,,ISIC_0065521.JPG,167,true,hh,keypress(i),0,false,269229,269228.6999999881,267361.139,267373,267377.796,269244.736,1,20,13,
sequence,flow.Sequence,6_12,2023-11-15T15:22:51.570Z,,,,,,,,,,1850.903999988106,completion,,,,,,,high,high,,,,,,true,,,,false,269229.1999999881,269228.6999999881,267361.139,267373,267377.796,269244.736,1,20,,
trial,html.Screen,6_13_0,2023-11-15T15:22:58.762Z,,,,1,-0.9493297220358412,-0.9126122723623854,,true,hh,7176.563999997044,response,1.064818044116379,0.9499999999999997,-0.9499999999999997,1.0146741178993408,0.9499999999999997,-0.9499999999999997,high,high,,ISIC_9738202.JPG,,ISIC_0032504.JPG,167,true,hh,keypress(i),0,false,276421.39999999106,276421.299999997,269227.972,269229.39999999106,269244.736,276427.849,1,20,14,
sequence,flow.Sequence,6_13,2023-11-15T15:22:58.762Z,,,,,,,,,,7176.563999997044,completion,,,,,,,high,high,,,,,,true,,,,false,276421.6999999881,276421.299999997,269227.972,269229.299999997,269244.736,276427.849,1,20,,
