sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
sequence,flow.Sequence,4_11,2023-11-17T20:05:23.057Z,,,,,,,,,,,2452.6479999999865,completion,,,,,,,high,low,,,,,,true,,,,,false,187689.69999998808,187689,185219.767,185427.5,185236.352,187503.303,1,16,,
trial,html.Screen,4_12_0,2023-11-17T20:05:26.748Z,,,,0,-1.2200968917423711,-1.3183466064109373,,,true,hh,3877.796999964223,response,0.9591882283004984,1.2,-1.2,1.281960835517798,1.2,-1.2,high,high,,ISIC_3624318.JPG,,ISIC_0011931.JPG,249,true,0.3600000000000002,hh,keypress(i),100,false,191381.29999995232,191381.09999996424,187486.475,187689.89999997616,187503.303,191203.008,1,16,13,
sequence,flow.Sequence,4_12,2023-11-17T20:05:26.748Z,,,,,,,,,,,3877.796999964223,completion,,,,,,,high,high,,,,,,true,,,,,false,191381.5,191381.09999996424,187486.475,187689.89999997616,187503.303,191203.008,1,16,,
trial,html.Screen,4_13_0,2023-11-17T20:05:29.795Z,,,,0,-1.1363600109870835,-1.295816345369928,,,true,hh,3224.3919999761565,response,1.2055236989581275,1.2,-1.2,1.1960893075698802,1.2,-1.2,high,high,,ISIC_0026141.JPG,,ISIC_0072393.JPG,41,true,0.15000000000000002,hh,keypress(i),100,false,194427.39999997616,194427.39999997616,191186.341,191381.5,191203.008,194236.364,1,16,14,
sequence,flow.Sequence,4_13,2023-11-17T20:05:29.795Z,,,,,,,,,,,3224.3919999761565,completion,,,,,,,high,high,,,,,,true,,,,,false,194427.59999996424,194427.39999997616,191186.341,191381.5,191203.008,194236.364,1,16,,
trial,html.Screen,4_14_0,2023-11-17T20:05:32.247Z,,,,0,-1.2714351764931109,-1.0785174776187512,,,true,hh,2643.735999964236,response,1.2893246069103816,1.2,-1.2,1.0655029133871594,1.2,-1.2,high,high,,ISIC_2454898.JPG,,ISIC_0070747.JPG,41,true,0.15000000000000002,hh,keypress(i),100,false,196880.19999998808,196880.09999996424,194219.728,194427.69999998808,194236.364,196703.142,1,16,15,
sequence,flow.Sequence,4_14,2023-11-17T20:05:32.247Z,,,,,,,,,,,2643.735999964236,completion,,,,,,,high,high,,,,,,true,,,,,false,196880.39999997616,196880.09999996424,194219.728,194427.69999998808,194236.364,196703.142,1,16,,
trial,html.Screen,4_15_0,2023-11-17T20:05:34.192Z,,,,0,-1.0581281450494728,-1.133169116569424,,,true,hh,2121.2579999761656,response,1.3034518282811869,1.2,-1.2,1.0897657776277234,1.2,-1.2,high,high,,ISIC_5490352.JPG,,ISIC_0071988.JPG,41,true,0.15000000000000002,hh,keypress(i),100,false,198824.59999996424,198824.39999997616,196686.625,196880.59999996424,196703.142,198636.316,1,16,16,
sequence,flow.Sequence,4_15,2023-11-17T20:05:34.192Z,,,,,,,,,,,2121.2579999761656,completion,,,,,,,high,high,,,,,,true,,,,,false,198825.09999996424,198824.39999997616,196686.625,196880.59999996424,196703.142,198636.316,1,16,,
demonstration_loop,flow.Loop,4,2023-11-17T20:05:34.192Z,,,,,,,,,,,90904.47899997616,completion,,,,,,,,,,,,,,true,,,,,false,198825.39999997616,198824.39999997616,107903.5,108117.39999997616,107919.921,198636.316,1,16,,
