sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_control_images,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
trial,html.Screen,4_15_0,2023-11-27T19:03:18.021Z,,,,0,-0.9873794329144926,0.9500689037516484,,,true,hl,3740.7949998092663,response,1.3411487193830047,1.2,-1.2,-1.198640448317381,1.2,-1.2,high,low,,ISIC_0013498.JPG,,ISIC_3093026.JPG,,29,true,0.3600000000000002,hl,keypress(j),100,false,210471.39999985695,210471.19999980927,206713.539,206702,206730.405,210496.985,1,16,16,
sequence,flow.Sequence,4_15,2023-11-27T19:03:18.022Z,,,,,,,,,,,3740.7949998092663,completion,,,,,,,high,low,,,,,,,true,,,,,false,210471.59999990463,210471.19999980927,206713.539,206702,206730.405,210496.985,1,16,,
demonstration_loop,flow.Loop,4,2023-11-27T19:03:18.022Z,,,,,,,,,,,85474.46599980927,completion,,,,,,,,,,,,,,,true,,,,,false,210471.59999990463,210471.19999980927,124963.528,124978.19999980927,124996.734,210496.985,1,16,,
practice_instructions,html.Screen,5,2023-11-27T19:03:30.103Z,,,,,,,,,,,12048.31499995233,response,,,,,,,,,,,,,,,,,continue,click button,,,222553.29999995232,222545.29999995232,210480.213,210471.69999980927,210496.985,222580.204,,,,
trial,html.Screen,6_0_0,2023-11-27T19:03:46.121Z,,,,1,1.1224745971429997,-0.8423270217438888,,,,,16016.67300000001,timeout,-0.9448560599810628,1.2,-1.2,0.9099421612683488,1.2,-1.2,low,high,,ISIC_0057032.JPG,,ISIC_9684318.JPG,,26,true,0.3300000000000002,,,0,false,238571.39999985695,238571.09999990463,222530.213,222553.5,222580.204,238596.877,1,40,1,
sequence,flow.Sequence,6_0,2023-11-27T19:03:46.121Z,,,,,,,,,,,15990.895999904635,completion,,,,,,,low,high,,,,,,,true,,,,,false,238571.5,238571.09999990463,222530.213,222553.5,222580.204,238596.877,1,40,,
trial,html.Screen,6_1_0,2023-11-27T19:03:54.254Z,,,,1,0.8779374983479176,-0.9745548032823428,,,true,lh,8106.622999999992,response,-1.2463522959513311,1.2,-1.2,0.8691422647859491,1.2,-1.2,low,high,,ISIC_2991354.JPG,,ISIC_0057192.JPG,,33,true,0.3600000000000002,lh,keypress(e),0,false,246703.69999980927,246703.5,238580.238,238571.5,238596.877,246730.267,1,40,2,
sequence,flow.Sequence,6_1,2023-11-27T19:03:54.254Z,,,,,,,,,,,8106.622999999992,completion,,,,,,,low,high,,,,,,,true,,,,,false,246703.79999995232,246703.5,238580.238,238571.5,238596.877,246730.267,1,40,,
trial,html.Screen,6_2_0,2023-11-27T19:04:01.346Z,,,,1,1.212030980680325,1.139863018685685,,,true,ll,7064.132999856956,response,-1.320382426640536,1.2,-1.2,-1.010460601525102,1.2,-1.2,low,low,,ISIC_0008510.JPG,,ISIC_0010746.JPG,,249,true,0.3600000000000002,ll,keypress(f),0,false,253794.59999990463,253794.39999985695,246713.622,246703.79999995232,246730.267,253830.251,1,40,3,
sequence,flow.Sequence,6_2,2023-11-27T19:04:01.346Z,,,,,,,,,,,7064.132999856956,completion,,,,,,,low,low,,,,,,,true,,,,,false,253794.79999995232,253794.39999985695,246713.622,246703.79999995232,246730.267,253830.251,1,40,,
