sender,sender_type,sender_id,timestamp,meta,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,img_left,img_reveal,img_right,n_control_images,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,age,gender
trial,html.Screen,4_14_0,2024-07-08T23:46:47.341Z,,0,-0.783371001,0.931558809,,,TRUE,hl,4656.3,response,1.020990672,1.2,-1.2,-1.011651385,1.2,-1.2,high,low,ISIC_3826102.JPG,,ISIC_0011995.JPG,,33,TRUE,0.42,hl,keypress(j),100,FALSE,131971.3,131971.1,127298.23,127295,127314.8,131994.2,1,16,15,,,
sequence,flow.Sequence,4_14,2024-07-08T23:46:47.341Z,,,,,,,,,4656.3,completion,,,,,,,high,low,,,,,,TRUE,,,,,FALSE,131971.4,131971.1,127298.23,127295,127314.8,131994.2,1,16,,,,
trial,html.Screen,4_15_0,2024-07-08T23:46:49.667Z,,0,-0.894761108,0.896096451,,,TRUE,hl,2302.8,response,0.78779395,1.2,-1.2,-0.841503278,1.2,-1.2,high,low,ISIC_6441128.JPG,,ISIC_0067308.JPG,,33,TRUE,0.42,hl,keypress(j),100,FALSE,134297.1,134297,131977.8,131971.5,131994.2,134325.8,1,16,16,,,
sequence,flow.Sequence,4_15,2024-07-08T23:46:49.667Z,,,,,,,,,2302.8,completion,,,,,,,high,low,,,,,,TRUE,,,,,FALSE,134297.3,134297,131977.8,131971.4,131994.2,134325.8,1,16,,,,
demonstration_loop,flow.Loop,4,2024-07-08T23:46:49.667Z,,,,,,,,,68781.086,completion,,,,,,,,,,,,,,TRUE,,,,,FALSE,134297.4,134297,65515.914,65497.6,65515.914,134325.8,1,16,,,,
practice_instructions,html.Screen,5,2024-07-08T23:46:51.382Z,,,,,,,,,1684.9,response,,,,,,,,,,,,,,,,continue,keypress(Space),,,136011.6,136010.7,134309.232,134297.5,134325.8,136030.1,,,,,,
trial,html.Screen,6_0_0,2024-07-08T23:46:58.446Z,,1,0.945471323,-0.924516744,,,TRUE,lh,7039.3,response,-0.938866085,1.2,-1.2,0.795339487,1.2,-1.2,low,high,ISIC_9101055.JPG,,ISIC_9291926.JPG,,27,TRUE,0.42,lh,keypress(e),0,FALSE,143076.1,143069.4,136025.732,136011.8,136030.1,143094.3,1,40,1,,,
sequence,flow.Sequence,6_0,2024-07-08T23:46:58.446Z,,,,,,,,,7039.3,completion,,,,,,,low,high,,,,,,TRUE,,,,,FALSE,143076.2,143069.4,136025.732,136011.7,136030.1,143094.3,1,40,,,,
trial,html.Screen,6_1_0,2024-07-08T23:47:02.865Z,,1,-1.225418757,-1.174555235,,,TRUE,hh,4400.7,response,1.241406481,1.2,-1.2,1.081912822,1.2,-1.2,high,high,ISIC_0027187.JPG,,ISIC_4223155.JPG,,179,TRUE,0.36,hh,keypress(i),0,FALSE,147495.1,147495,143063.186,143076.2,143094.3,147497.1,1,40,2,,,
sequence,flow.Sequence,6_1,2024-07-08T23:47:02.865Z,,,,,,,,,4400.7,completion,,,,,,,high,high,,,,,,TRUE,,,,,FALSE,147495.4,147495,143063.186,143076.2,143094.3,147497.1,1,40,,,,
