sender,sender_type,sender_id,timestamp,meta,blockNo,c1,c2,condition,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,img_left,img_reveal,img_right,n_target_images,practice,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,age,gender
trial,html.Screen,3_14_0,2023-11-13T15:25:22.822Z,,0,-0.012881242,-0.01892956,,TRUE,hh,3785.726,response,0.860665126,1,-1,1.076520827,1,-1,high,high,ISIC_0010372.JPG,,ISIC_5313574.JPG,154,TRUE,hh,keypress(i),100,FALSE,1560114.5,1560113.9,1556311.274,1556396.1,1556328.174,1560047.678,1,16,15,,,
sequence,flow.Sequence,3_14,2023-11-13T15:25:22.823Z,,,,,,,,3785.726,completion,,,,,,,high,high,,,,,TRUE,,,,FALSE,1560115.4,1560113.9,1556311.274,1556395.9,1556328.174,1560047.678,1,16,,,,
trial,html.Screen,3_15_0,2023-11-13T15:25:29.308Z,,0,0.010071172,-0.010035581,,TRUE,hh,6552.622,response,1.185052823,1,-1,1.018568531,1,-1,high,high,ISIC_0030592.JPG,,ISIC_0057180.JPG,154,TRUE,hh,keypress(i),100,FALSE,1566600.5,1566600.3,1560031.073,1560115.7,1560047.678,1566536.691,1,16,16,,,
sequence,flow.Sequence,3_15,2023-11-13T15:25:29.308Z,,,,,,,,6552.622,completion,,,,,,,high,high,,,,,TRUE,,,,FALSE,1566600.7,1566600.3,1560031.073,1560115.6,1560047.678,1566536.691,1,16,,,,
demonstration_loop,flow.Loop,3,2023-11-13T15:25:29.308Z,,,,,,,,91189.386,completion,,,,,,,,,,,,,TRUE,,,,FALSE,1566600.9,1566600.3,1475394.258,1475478.6,1475410.914,1566536.691,1,16,,,,
practice_instructions,html.Screen,4,2023-11-13T15:25:50.463Z,,,,,,,,21212.809,response,,,,,,,,,,,,,,continue,click button,,,1587756.8,1587749.5,1566519.931,1566600.9,1566536.691,1587670.338,,,,,,
trial,html.Screen,5_0_0,2023-11-13T15:26:01.451Z,,1,0.002695675,-0.036721843,,,,11009.162,timeout,-0.928217189,1,-1,0.856194655,1,-1,low,high,ISIC_7212271.JPG,,ISIC_3065032.JPG,24,TRUE,,,0,FALSE,1598744.6,1598744.4,1587653.695,1587756.9,1587670.338,1598679.5,1,20,1,,,
sequence,flow.Sequence,5_0,2023-11-13T15:26:01.451Z,,,,,,,,11074.062,completion,,,,,,,low,high,,,,,TRUE,,,,FALSE,1598744.7,1598744.4,1587653.695,1587756.9,1587670.338,1598679.5,1,20,,,,
trial,html.Screen,5_1_0,2023-11-13T15:26:04.426Z,,1,0.049297905,0.036247274,,TRUE,hl,3039.3,response,0.870797302,1,-1,-0.859129426,1,-1,high,low,ISIC_5312584.JPG,,ISIC_0055841.JPG,24,TRUE,hl,keypress(j),0,FALSE,1601718.8,1601718.8,1598662.75,1598744.7,1598679.5,1601648.943,1,20,2,,,
sequence,flow.Sequence,5_1,2023-11-13T15:26:04.426Z,,,,,,,,3039.3,completion,,,,,,,high,low,,,,,TRUE,,,,FALSE,1601719,1601718.8,1598662.75,1598744.7,1598679.5,1601648.943,1,20,,,,
trial,html.Screen,5_2_0,2023-11-13T15:26:07.227Z,,1,0.02914574,-0.036187551,,TRUE,hl,2871.457,response,0.910176419,1,-1,-0.806956275,1,-1,high,low,ISIC_0027480.JPG,,ISIC_0046596.JPG,24,TRUE,hl,keypress(j),0,FALSE,1604520.8,1604520.4,1601631.983,1601719.1,1601648.943,1604434.344,1,20,3,,,
sequence,flow.Sequence,5_2,2023-11-13T15:26:07.228Z,,,,,,,,2871.457,completion,,,,,,,high,low,,,,,TRUE,,,,FALSE,1604521.4,1604520.4,1601631.983,1601719.1,1601648.943,1604434.344,1,20,,,,
trial,html.Screen,5_3_0,2023-11-13T15:26:09.852Z,,1,0.069781088,-0.031188432,,TRUE,hl,2710.056,response,0.842890377,1,-1,-1.006154818,1,-1,high,low,ISIC_4870676.JPG,,ISIC_0069970.JPG,24,TRUE,hl,keypress(j),0,FALSE,1607144.9,1607144.4,1604417.535,1604521.7,1604434.344,1607053.224,1,20,4,,,
