"n_participants","n_trials","n_players","sim_no","sp_rho","sp_p","rmse","connected","n_components","mu_dist","max_dist","e_density","diam","med_deg","min_deg","max_deg"
10,4500,5000,77,0.500792316926771,3e-04,14.4540651721237,0,10,4.10897435897436,Inf,0.0183673469387755,6,2,0,4
10,4500,5000,78,0.337911164465786,0.0168,16.636105313444,0,12,4.91145833333333,Inf,0.0183673469387755,8,2,0,5
10,4500,5000,79,0.484753901560624,4e-04,14.6833238743821,0,8,5.18632707774799,Inf,0.0183673469387755,5,2,0,5
10,4500,5000,80,0.39563025210084,0.0047,15.8971695593901,0,16,4.16134453781513,Inf,0.0183673469387755,7,2,0,6
10,4500,5000,81,0.158895558223289,0.2695,18.7435322178078,0,10,4.42338709677419,Inf,0.0183673469387755,7,2,0,5
10,4500,5000,82,0.37594237695078,0.0075,16.153018293805,0,11,5.37637795275591,Inf,0.0183673469387755,4,1,0,6
10,4500,5000,83,0.456230492196879,0.001,15.0824401208823,0,13,3.93656093489149,Inf,0.0183673469387755,14,2,0,5
10,4500,5000,84,0.467178871548619,7e-04,14.9305056846712,0,12,4.12145110410095,Inf,0.0183673469387755,11,1.5,0,6
10,4500,5000,85,0.578103241296519,0,13.2936074863071,0,11,4.55074626865672,Inf,0.0183673469387755,6,2,0,4
10,4500,5000,86,0.402545018007203,0.004,15.8063278467834,0,13,3.69949494949495,Inf,0.0183673469387755,8,1.5,0,5
10,4500,5000,87,0.427611044417767,0.0021,15.4725563498732,0,11,4.53846153846154,Inf,0.0183673469387755,6,2,0,5
10,4500,5000,88,0.57906362545018,0,13.2785541381583,0,12,4.68485915492958,Inf,0.0183673469387755,7,2,0,6
10,4500,5000,89,0.55265306122449,0,13.6864896887405,0,9,5.26480836236934,Inf,0.0183673469387755,5,2,0,6
10,4500,5000,90,0.275966386554622,0.0527,17.3942519241271,0,9,5.08910891089109,Inf,0.0183673469387755,8,2,0,5
10,4500,5000,91,0.600672268907563,0,12.9352232296161,0,10,4.40902679830748,Inf,0.0183673469387755,7,2,0,5
10,4500,5000,92,0.313997599039616,0.0268,16.9328083908134,0,12,4.45996275605214,Inf,0.0183673469387755,7,2,0,7
10,4500,5000,93,0.45968787515006,9e-04,15.0346266997222,0,12,4.23817034700315,Inf,0.0183673469387755,6,2,0,5
10,4500,5000,94,0.396590636254502,0.0046,15.8845837213318,0,12,4.76014109347443,Inf,0.0183673469387755,8,2,0,5
